epoch,accuracy,loss,val_accuracy,val_loss
0,0.7630000114440918,0.6509164571762085,0.8887500166893005,0.26789334416389465
1,0.8560000061988831,0.3661157786846161,0.893750011920929,0.2524884045124054
2,0.8769999742507935,0.3060671389102936,0.8762500286102295,0.329675555229187
3,0.9054999947547913,0.25987204909324646,0.8299999833106995,0.5350281000137329
4,0.9125000238418579,0.23836535215377808,0.8999999761581421,0.30474814772605896
5,0.9150000214576721,0.22222349047660828,0.8987500071525574,0.31081685423851013
6,0.9279999732971191,0.2036200314760208,0.8999999761581421,0.3291473388671875
7,0.9424999952316284,0.16755719482898712,0.8962500095367432,0.4035570025444031
8,0.9465000033378601,0.1603182852268219,0.9012500047683716,0.3450610637664795
9,0.9514999985694885,0.13674090802669525,0.8924999833106995,0.4102346897125244
